name,url,gvkey,paragraphs,words,tracking_cookies,g_fog,legal_quality
SPIRIT AEROSYSTEMS HOLDINGS,www.spiritaero.com,164494.0,36.0,1806.0,3.0,21.244162,1.1806242
SPLUNK INC,www.splunk.com,170616.0,69.0,3740.0,14.0,17.174896,1.4547
SPOK HOLDINGS INC,www.spok.com,24844.0,34.0,1766.0,7.0,18.30216,0.30565089
SPECTRUM PHARMACEUTICALS INC,www.sppirx.com,63650.0,13.0,934.0,0.0,17.793512,0.22212854
SP PLUS CORP,www.spplus.com,158737.0,46.0,4238.0,0.0,18.961002,0.3595604
SPRAGUE RESOURCES LP,www.spragueenergy.com,187709.0,11.0,735.0,1.0,17.029707000000002,-0.41485158
SPRING BANK PHARMACEUTICALS,www.springbankpharm.com,26790.0,23.0,1591.0,2.0,14.31686,0.26354712
TOSCANA ENERGY INCOME CORP,www.sprott-toscana.com,16029.0,30.0,1605.0,1.0,18.741646,0.47397938
SPROTT INC,www.sprott.com,180081.0,30.0,1605.0,1.0,18.741646,0.47397938
SPROUTS FARMERS MARKET,www.sprouts.com,17934.0,56.0,5037.0,4.0,17.265701,0.29965851
SPS COMMERCE INC,www.spscommerce.com,183974.0,27.0,3221.0,6.0,19.043594,-0.12870964
SPX CORP,www.spx.com,5087.0,40.0,2154.0,1.0,22.406881,1.544921
SPX FLOW INC,www.spxflow.com,24611.0,19.0,1037.0,0.0,22.680560999999997,0.36680758
SPYR INC,www.spyr.com,63752.0,60.0,3725.0,0.0,18.153051,1.0259315
SQI DIAGNOSTICS INC,www.sqidiagnostics.com,162934.0,13.0,591.0,0.0,16.680792,-0.42822596
SQUARE INC,www.squareup.com,26367.0,62.0,3057.0,9.0,17.697338000000002,0.51637167
SOCIAL REALITY INC,www.srax.com,15543.0,23.0,762.0,1.0,17.636974,-0.24525316
SRC ENERGY INC,www.srcenergy.com,178870.0,4.0,213.0,3.0,13.77167,-6.6317306
SS&C TECHNOLOGIES HLDGS INC,www.ssctech.com,62965.0,6.0,312.0,7.0,15.755769,-0.20332894
SSR MINING INC,www.ssrmining.com,26768.0,17.0,718.0,0.0,18.017761,0.17438
STMICROELECTRONICS NV,www.st.com,31142.0,61.0,3030.0,0.0,22.562517,1.2921802
STAAR SURGICAL CO,www.staar.com,9969.0,48.0,3593.0,0.0,17.898569000000002,0.17617348
STAMPS.COM INC,www.stamps.com,121673.0,69.0,4416.0,4.0,15.911932,1.2699921
STANDARD FINANCIAL CORP,www.standardbankpa.com,185113.0,24.0,857.0,1.0,13.541557999999998,-0.14260863
STANDARD DIVERSIFIED INC,www.standarddiversified.com,29040.0,21.0,2230.0,0.0,20.566628,-0.39315754
STANDEX INTERNATIONAL CORP,www.standex.com,10008.0,4.0,102.0,1.0,20.809092,-0.25567725
STANLEY BLACK & DECKER INC,www.stanleyblackanddecker.com,10016.0,112.0,5501.0,4.0,18.837643,0.93464899
STANTEC INC,www.stantec.com,29985.0,15.0,704.0,1.0,25.537382,-0.20769747
STARBUCKS CORP,www.starbucks.com,25434.0,55.0,3478.0,4.0,17.914379,0.37607536
STARRETT (L.S.) CO  -CL A,www.starrett.com,10030.0,7.0,542.0,3.0,15.477748000000002,-0.46917883
STARS GROUP INC,www.starsgroup.com,185291.0,55.0,3310.0,0.0,16.144159,0.39526051
STARWOOD PROPERTY TRUST INC,www.starwoodpropertytrust.com,183388.0,12.0,930.0,1.0,17.660442,-0.21849857
STATE STREET CORP,www.statestreet.com,10035.0,35.0,1534.0,1.0,17.868682999999997,0.79555947
STEADYMED LTD,www.steadymed.com,23043.0,20.0,1909.0,0.0,16.540625,-0.30101314
STEELCASE INC,www.steelcase.com,66290.0,33.0,2227.0,12.0,18.222763,0.60282326
STEIN MART INC,www.steinmart.com,25186.0,37.0,2240.0,0.0,16.195881,0.32417029
STELLA-JONES INC,www.stella-jones.com,30421.0,159.92,9791.4697,0.0,20.26568,-0.41304389
STELLAR BIOTECHNOLOGIES INC,www.stellarbiotechnologies.com,184727.0,7.0,555.0,0.0,15.499131,-2.8194077
STEPAN CO,www.stepan.com,10056.0,17.0,904.0,2.0,14.247154,-0.37413105
STEP ENERGY SERVICES LTD,www.stepenergyservices.com,31178.0,34.0,1193.0,2.0,16.169119,-0.33772528
STEREOTAXIS INC,www.stereotaxis.com,160375.0,16.0,973.0,0.0,15.258574,-0.30426455
STERICYCLE INC,www.stericycle.com,63527.0,8.0,767.0,6.0,25.537382,-0.058492015999999994
STERLING BANCORP INC,www.sterlingbank.com,32698.0,15.0,401.0,0.0,14.96194,-0.66218728
MADDEN STEVEN LTD,www.stevemadden.com,29382.0,47.0,4469.0,8.0,18.002224,0.24424312
STEWART INFORMATION SERVICES,www.stewart.com,10086.0,20.0,1232.0,1.0,16.236841000000002,-0.27960809999999997
STIFEL FINANCIAL CORP,www.stifel.com,11770.0,7.0,372.0,0.0,17.344177,-0.54865354
WALMART INC,www.stock.walmart.com,11259.0,21.0,798.0,1.0,16.61055,0.30129218
STONECASTLE FINANCIAL CORP,www.stonecastle-financial.com,19107.0,8.0,541.0,0.0,18.624470000000002,-0.13719915
STONERIDGE INC,www.stoneridge.com,65590.0,30.0,1540.0,1.0,14.961770999999999,1.0193483
STORE CAPITAL CORP,www.storecapital.com,21630.0,21.0,1182.0,2.0,19.313625,-0.016425725
STORM RESOURCES LTD,www.stormresourcesltd.com,185511.0,34.0,1818.0,0.0,19.639647,-0.37167686
STRAD ENERGY SERVICES LTD,www.stradenergy.com,185960.0,22.0,741.0,1.0,24.340906,0.47682479
STRATASYS LTD,www.stratasys.com,30847.0,59.0,4345.0,8.0,18.227903,0.61924613
STRATEGEM CAPITAL CORP,www.strategemcapital.com,64945.0,2.0,63.0,0.0,16.346153,-0.23275228
STRATTEC SECURITY CORP,www.strattec.com,31567.0,8.0,840.0,0.0,17.033783,-0.50552332
STRATUS PROPERTIES INC,www.stratusproperties.com,25462.0,7.0,1123.0,0.0,16.750362,-0.38471276
STRAYER EDUCATION INC,www.strayereducation.com,63338.0,27.0,1721.0,10.0,18.162319,0.54014397
STREAMLINE HEALTH SOLUTIONS,www.streamlinehealth.net,62666.0,23.0,1618.0,4.0,17.663631,-0.095966853
STREET CAPITAL GROUP INC,www.streetcapital.ca/investors,20339.0,34.0,1382.0,0.0,25.537382,0.29861137
STERLING CONSTRUCTION CO INC,www.strlco.com,5559.0,14.0,969.0,0.0,16.486473,-0.79625523
STRONGBRIDGE BIOPHARMA PLC,www.strongbridgebio.com,293919.0,9.0,316.0,1.0,14.112105,-0.53261089
STRONGCO CORP,www.strongco.com,61696.0,9.0,410.0,13.0,15.554292000000002,-0.78811884
STR HOLDINGS INC,www.strsolar.com,180597.0,29.0,1756.0,0.0,17.148912,-0.12774399
STRYKER CORP,www.stryker.com,10115.0,50.0,3120.0,1.0,17.401417000000002,-0.2655586
SUBSEA 7 SA,www.subsea7.com,28456.0,24.0,1081.0,0.0,15.886395000000002,0.11759964
SUBURBAN PROPANE PRTNRS  -LP,www.suburbanpropane.com,62501.0,10.0,1051.0,5.0,18.192135,0.05035051
SUMMER ENERGY HOLDINGS INC,www.summerenergy.com,170992.0,32.0,2553.0,0.0,17.391270000000002,0.020356409
SUMMER INFANT INC,www.summerinfant.com,176874.0,12.0,922.0,1.0,14.390937,-0.23158679999999998
SUMMIT MATERIALS INC,www.summit-materials.com,22603.0,16.0,871.0,0.0,17.354132,0.22224274
SUMMIT INDUSTRIAL INCM REIT,www.summitIIreit.com,121096.0,35.0,2177.0,0.0,19.964909,-0.26682523
SUMMIT THERAPEUTICS PLC,www.summitplc.com,271357.0,45.0,1836.0,0.0,15.750523999999999,1.0844651
SUMMIT STATE BANK,www.summitstatebank.com,165630.0,17.0,1097.0,0.0,16.34787,-0.08083044
SUNCOKE ENERGY INC,www.suncoke.com,186773.0,63.0,3688.0,1.0,21.931751000000002,-0.32712531
SUNCOKE ENERGY PARTNERS LP,www.suncoke.com,15396.0,63.0,3688.0,1.0,21.931751000000002,-0.32712531
SUN COMMUNITIES INC,www.suncommunities.com,29359.0,15.0,956.0,5.0,17.445259,-0.70445096
SUNCOR ENERGY INC,www.suncor.com,15070.0,6.0,142.0,1.0,16.288180999999998,-0.42999536
SUNESIS PHARMACEUTICALS INC,www.sunesis.com,162585.0,7.0,527.0,0.0,15.140392000000002,-0.24820998
SUN HYDRAULICS CORP,www.sunhydraulics.com,64254.0,24.0,1626.0,0.0,17.191545,0.36767629
SUN LIFE FINANCIAL INC,www.sunlife.com,133289.0,42.0,1669.0,8.0,21.801185999999998,0.88480425
SUNOCO LP,www.sunocolp.com,12892.0,44.0,2913.0,1.0,18.774321,0.57129383
SUNOPTA INC,www.sunopta.com,12761.0,16.0,1161.0,0.0,17.714432000000002,0.60814476
SUNPOWER CORP,www.sunpower.com,165051.0,37.0,2428.0,4.0,18.810062,0.1521455
