Company,alpha_a,alpha_b,beta_a,std,alpha_adj,date,search_pressure
C._H._Robinson,-0.23029583366635112,-0.24890752730911442,0.11686321088901376,0.791542983936563,-0.3104536296678653,2021-07-13,-0.2623589520669568
WEC_Energy_Group,-0.2574472214927551,0.23420628910374233,-0.21228336703190942,0.8369067260366961,-0.2737217698936476,2021-07-13,-0.2639570408531121
Kinder_Morgan,-0.26328168708539285,0.15736422058703323,-0.16212177404417008,0.9328852988375353,-0.27860069318089264,2021-07-13,-0.2694092895235928
Federal_Realty_Investment_Trust,-0.2495575625406749,-0.006711529999159903,-0.04936481983685878,0.6572670544071149,-0.3033336499306465,2021-07-13,-0.27106799749666355
Qorvo,-0.2516355913818892,-0.24451946599400506,0.10932158873280622,0.6584970377189825,-0.3033293466707627,2021-07-13,-0.2723130934974386
Sysco,-0.2506308301839396,-0.03724757532810632,-0.029162513383940016,0.7787139531651888,-0.30879855019744745,2021-07-13,-0.2738979181893427
Philip_Morris_International,-0.2512245527100009,-0.08204665265771552,0.0006877302273965715,0.7600759569626667,-0.3128985105170009,2021-07-13,-0.27589413583280087
Boston_Scientific,-0.2602788212324309,0.12126161482073784,-0.1373148169824389,0.776469331332568,-0.30343771323870405,2021-07-13,-0.2775423780349402
Broadridge_Financial_Solutions,-0.2591142116620807,-0.19200127403088887,0.07256385582348773,0.6325093896788018,-0.30799296449342284,2021-07-13,-0.27866571279461755
The_Est%C3%A9e_Lauder_Companies,-0.2593311487389102,-0.1562584119463903,0.048598849771708266,0.6280319433431142,-0.30886757308560236,2021-07-13,-0.27914571847758707
S%26P_Global,-0.2521608074626354,-0.39086160647175944,0.2071365821142491,0.7043752293368114,-0.3203374590458864,2021-07-13,-0.2794314680959358
Everest_Re,-0.26446913213751516,-0.12000322395747098,0.02322901765673957,0.5869394145411875,-0.3116747364934286,2021-07-13,-0.2833513738798805
FirstEnergy,-0.2753730746834435,-0.2218390230425479,0.08902173917507689,0.5258275249153915,-0.30300039992447814,2021-07-13,-0.28642400477985736
Best_Buy,-0.288218033179955,-0.35837822749659604,0.17761819041317606,0.4842851000400484,-0.2841570785221431,2021-07-13,-0.28659365131683023
